ID,NU_NOTA_LC
0,519.4403531512485
1,570.0556534153197
2,523.0036309969923
3,477.2692814400382
4,527.3785894840623
5,566.1793691415339
6,488.4945732027297
7,487.8294931476928
8,505.1796553449151
9,605.9688042282663
10,598.2874769762926
11,589.4028559748081
12,469.5574900260676
13,612.2998257479726
14,430.23261604235023
15,445.67477477682235
16,632.2045984427109
17,602.378310855644
18,519.8585633040087
19,527.2705984637626
20,475.56711728548237
21,589.730826655016
22,565.1129052781332
23,478.62041884890255
24,460.83143735632336
25,567.4058228746154
26,446.364706752211
27,537.6152140417219
28,434.5036486950215
29,478.71370655031956
30,521.3089649356052
31,617.8464961024479
32,586.0943908088722
33,552.528887090676
34,552.8987268001151
35,465.74661299823043
36,496.151999312901
37,519.5793651204351
38,527.39444433459
39,511.10710074045454
40,488.47306744855223
41,522.7907783999539
42,543.4144797449936
43,442.79360446056427
44,660.3077000329706
45,417.9085914541637
46,488.94578172124153
47,461.7657307923806
48,447.04005024592595
49,536.6082381774165
50,476.9623899365551
51,467.17266099628
52,475.79373145924546
53,525.7423166159688
54,557.5055463475624
55,555.7250416298094
56,464.1274497945693
57,531.8657055293903
58,547.3835262292216
59,605.0878831870531
60,470.3237392144206
61,472.5470029255454
62,459.46039233984243
63,529.9594514760753
64,533.682232094954
65,426.99972834043524
66,526.197782782876
67,445.6040273991305
68,453.7087186108146
69,525.4099490244135
70,548.7609444496918
71,591.8409797639345
72,513.51577764336
73,518.4890295976008
74,577.0734441745253
75,498.05448883592464
76,516.2195219555629
77,471.8837860245359
78,561.3675847529516
79,580.3234385394369
80,511.9245593822073
81,578.5977554170797
82,472.81074156593706
83,466.6262069615027
84,491.45461965649827
85,537.4871211333173
86,496.08380635175865
87,527.8259556266935
88,461.25881006825307
89,488.25667906433773
90,506.493487135809
91,505.3033438669883
92,545.5736401845903
93,457.09378909866973
94,586.3139559464188
95,593.19536330506
96,525.9499922490293
97,459.24730466803794
98,505.0553645903884
99,535.5872941897778
100,614.9296278220179
101,516.0121423138991
102,544.9261725085082
103,593.4470738351723
104,531.0084669887566
105,644.982085422167
106,641.8427899561694
107,612.8774373431343
108,479.7852126673048
109,648.5775177057899
110,536.6268601953286
111,492.2345345454783
112,514.7747822669969
113,599.6224406918612
114,480.7456780685849
115,500.03478209327636
116,519.4000486729248
117,542.6490410210154
118,611.9735796556809
119,553.0423996515984
120,532.8343630058706
121,475.1387368604227
122,502.9064006943271
123,629.8663103057885
124,510.43929274979536
125,561.0978206926455
126,499.2022762698107
127,502.00354457803394
128,536.4760661986847
129,543.3592017196215
130,525.6601253132751
131,460.7209724104474
132,564.8266025396215
133,469.75646112558366
134,510.5074351255661
135,563.8693214866016
136,579.0472270143981
137,516.0494526058499
138,459.8206444290789
139,474.92990321837385
140,504.46242588219417
141,495.93183709935636
142,499.39230643577594
143,524.5949367976544
144,525.3873426831776
145,597.0966240498088
146,688.0329333380255
147,565.3088196828288
148,494.45280749697275
149,573.5642483971533
150,608.4993315633008
151,489.7518040653947
152,584.2174695318978
153,526.8042681894
154,531.9342512789825
155,557.7151141717936
156,475.66057244339277
157,492.72386844308255
158,472.7699747371805
159,625.1130645970228
160,635.704926613047
161,655.0982448742529
162,610.9115373390205
163,429.9847801661747
164,438.32163066615954
165,516.6085787403588
166,548.801207007143
167,547.2753528171538
168,561.7148909839325
169,594.3838488296028
170,599.237800425108
171,403.23700866497006
172,581.9301713307589
173,473.32694910765747
174,565.4818697780729
175,491.08441214086963
176,570.778014606906
177,514.5998956136524
178,531.3146998064746
179,552.9176138114424
180,496.4835023148497
181,511.5122538594611
182,513.5755855269682
183,510.63920697553226
184,509.8927260342773
185,611.0617243124632
186,508.50680670428426
187,617.6343708670879
188,496.7797504460642
189,490.05723071159946
190,525.3510803128133
191,478.87766327314716
192,523.0347375702958
193,593.9856788882101
194,572.9813276326681
195,538.7224116017334
196,467.3877863466994
197,572.4947520923612
198,530.5698170156483
199,556.5236289016418
200,467.50613399876113
201,601.7445074666505
202,553.546271210658
203,439.84863987767676
204,540.9464708097881
205,442.5453973489424
206,539.5276820314987
207,452.86337409760216
208,577.5145213703966
209,616.1102355059143
210,496.8424062738399
211,537.1560843176442
212,528.6601038475769
213,499.2545201436691
214,534.16893454819
215,611.2976221056529
216,563.8053937692973
217,495.5535795195435
218,533.4469397150527
219,522.8117098363396
220,522.4204221917886
221,488.6440809208033
222,531.4136523242073
223,519.7568619049721
224,488.58293638534025
225,550.5780967640683
226,577.2872696876276
227,597.5834966558698
228,612.7795255457391
229,548.7593788710775
230,462.6484679448849
231,555.281945890986
232,459.7669294109618
233,537.9325937179543
234,575.8869308179469
235,510.3080096846562
236,526.310156526204
237,462.0126741745341
238,484.4398767044225
239,523.4184557369197
240,575.86742572923
241,640.6590937728123
242,518.1878512630965
243,494.10919178023426
244,648.9505079121282
245,529.8729335212665
246,573.4596269381952
247,490.51073898341167
248,421.8374590994149
249,557.2794224938617
